text,label,notes
"This Deepak Goyal is the worst cricket analyst i have ever seen. Goes too much into depth but in wrong direction and over explaining simple things.",hot_take,"Bold negative opinion about an analyst with no specific evidence of what he got wrong."
"dude had Tendulkar, Bumrah and Kohli in top 5 and left out Warne and Murali from top 10, Kimber was shocked half of the time. Hilarious that he didn't want to do his own research.",reaction,"Immediate emotional response to a specific TV segment, expressing amusement at what just happened."
"MS Dhoni is the most overrated all format cricketer for me. Goated ODI Cricketer but how was he good in T20i and Tests? Avg in tests and below avg in T20is.",analysis,"Makes a claim and backs it with a specific structural argument — Dhoni's Test average and T20I average as evidence."
"Msd is overrated in T20is and Tests, I said what I said. People aren't ready for that conversation.",hot_take,"Same claim as post 3 but stripped of all evidence — pure assertion with provocative framing."
"It's weird comparing modern day players to those pre T20 for all-formats, there are some modern day greats where T20 is the only format they struggle or aren't exceptional. Dhoni is the only questionable selection, Kallis, Sangakkara, Steyn are all more deserving to name a few",analysis,"Structured argument with a specific reasoning framework (pre-T20 era comparison) and named alternatives with implicit justification."
"Glenn McGrath still the goat.",hot_take,"Single confident claim with zero supporting reasoning or evidence."
"No Kevin Pietersen?? Dude's arguably the best all 3 format batter after Kohli.",hot_take,"Bold claim about Pietersen's ranking stated confidently with no stats or argument to back it."
"I have strong memories of Dirk Wellham playing in the same Aussie middle order as Allan Border to considerably less effect",reaction,"Personal memory triggered by seeing a player's name — expressing feeling about a specific historical moment."
"Imran Farhat... How he managed to play international cricket I don't know. Some say that has had Angelo Matthews played the 2011 Final instead of Kapugedera then SL might have won it (It was 4 runs in 11 balls IIRC, things would have been harder if it was 20 runs in 11 balls, even though I think Dhoni might have won).",analysis,"Engages with a counterfactual using specific match details (4 runs in 11 balls) and conditional reasoning about the outcome."
"Gavin Hamilton, who isn't the worst player to play test cricket by a long distance and retired with elite first class numbers of a 26 batting average and 25 bowling average, played 1 test for England, with a batting average of 0, getting a pair, and took no wickets with 15 overs bowled, which is an impressively shit one off test appearance if that's of any interest. Cameron Bancroft's Test returns were actually on the up: He was our leading run-scorer on the 2018 Test tour of South Africa before sandpaper got in the way.",analysis,"Presents specific verifiable stats (batting average, bowling figures, match details) to build a case about two players' test records."
"Marcus Harris is worse actually.",hot_take,"Single dismissive claim with no evidence or reasoning."
"Nikhil Chopra may be a fair shout, for ODIs, and Rajesh Chauhan for Tests. Amit Mishra was very good in limited overs but his career coincided with Harbhajan-Kumble and then Ashwin-Jadeja.",analysis,"Names specific players with contextual reasoning about why careers were limited by competition from named contemporaries."
"So since I'm Aussie biased. Folks like Brad Hodge, Andy Bichel, Michael Bevan (test match), even someone like Stuart MacGill are very unlucky.",hot_take,"Opinion that named players were unlucky stated without supporting stats or structured argument."
"Jade Dernbach escapes by virtue of having played only 24 matches.",hot_take,"Throwaway verdict on a player with a single number offered as decoration, not reasoning."
"Sanju Samson army likes this",reaction,"Immediate sarcastic emotional reaction to something just posted, no argument."
"There was an entire generation of Sri Lankan Batsmen from 2005-2015 who never got a chance because of how settled Tharanga Dilshan Sangakkara Mahela were.",analysis,"Makes a structured historical claim about a specific era and names the settled players who blocked opportunities — verifiable and reasoned."
"James Pattinson was quite good actually in all the three formats. Even had a fabulous ipl debut but he doesn't stand a chance against aussie trio.",analysis,"Assesses a player across formats with reference to IPL performance and explains why he still missed out — conditional reasoning present."
"Amol Muzundar. He was once highest run scorer in Ranji trophy. He scored 260 runs on first class debut which was once highest score on debut in the world. He was due to bat next when sachin and kambli had a 663 run partnership. He never played for India.",analysis,"Builds a case for an unlucky player using specific verifiable records: Ranji runs, debut score, the famous partnership that kept him waiting."
"In all honesty, Vinay Kumar had his opportunities. Couldn't translate his domestic success to international level. Pankaj Singh was really really unlucky man! I think Lehmann played enough for Aus, iirc.",analysis,"Distinguishes between two players' situations with a qualitative judgment grounded in opportunity vs. domestic performance translation."
"Tbf Manish Pandey did get a lot of chances at No.4 in 2016-17 and then at 5 in 2017-2018, barring that one 100 against Aus, he hasn't done too much",analysis,"Supports claim with specific timeline of opportunities and points to one notable innings as the only output — evidence-based assessment."
"Kuldeep in red ball is under utillised",hot_take,"Bold claim about underutilisation with no stats or tactical reasoning to support it."
"Botham is a tricky call. On his day he was sublime, but when you look at his career as a whole there were quite a lot of mediocre days mixed in. In terms of career averages, statistically he's only marginally better than Ben Stokes (2 runs worse on batting average, 3 runs better on bowling average), which is not what I'd call GOAT territory.",analysis,"Explicitly compares career averages with specific numbers to argue against GOAT status — structured and verifiable."
"Australia: Bradman, best I've seen Warne, then Ponting.",hot_take,"Personal ranking stated as opinion with no supporting argument or evidence."
"England: Jack Hobbs, best I've seen Jimmy Anderson.",hot_take,"Personal ranking stated with no supporting argument or evidence."
"What's Bradman doing here lol?",reaction,"Immediate surprised reaction to seeing Bradman's name, no argument."
"People questioning Bradman should get a permaban",reaction,"Emotional response to others questioning Bradman — expresses feeling, no reasoning."
